City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
265,Honiara,-9.4333,159.95,86.45,73,48,6.55,SB,2021-12-13 03:27:49,scattered clouds
266,Arkhangelsk,64.5401,40.5433,10.51,85,75,4.47,RU,2021-12-13 03:27:50,light snow
267,Anadyr,64.75,177.4833,-22.2,93,100,7.45,RU,2021-12-13 03:27:50,overcast clouds
268,Comonfort,20.7167,-100.7667,60.28,57,12,5.79,MX,2021-12-13 03:27:50,few clouds
269,Nanortalik,60.1432,-45.2371,25.03,76,100,11.9,GL,2021-12-13 03:27:51,overcast clouds
270,Hovd,48.0056,91.6419,10.15,60,66,3.71,MN,2021-12-13 03:27:51,broken clouds
271,Denpasar,-8.65,115.2167,87.46,70,20,11.5,ID,2021-12-13 03:24:22,few clouds
272,Lebu,-37.6167,-73.65,50.88,84,89,7.47,CL,2021-12-13 03:27:51,overcast clouds
273,Hearst,49.6835,-83.6665,28.65,89,45,8.03,CA,2021-12-13 03:27:52,scattered clouds
274,Torbay,47.6666,-52.7314,38.57,79,90,31.07,CA,2021-12-13 03:27:52,overcast clouds
275,Talnakh,69.4865,88.3972,-27.8,80,25,1.83,RU,2021-12-13 03:27:52,scattered clouds
276,Ust-Tarka,55.5672,75.705,11.59,95,100,8.88,RU,2021-12-13 03:27:53,light snow
277,Bengkulu,-3.8004,102.2655,83.66,66,56,3.38,ID,2021-12-13 03:28:53,broken clouds
278,Laguna,38.421,-121.4238,53.02,93,90,4.0,US,2021-12-13 03:28:53,light rain
279,Ardakan,32.31,54.0175,39.58,48,0,1.34,IR,2021-12-13 03:28:54,clear sky
280,Vredendal,-31.6683,18.5012,61.11,95,19,8.41,ZA,2021-12-13 03:28:54,few clouds
281,Tupanatinga,-8.7533,-37.3397,69.51,79,80,9.17,BR,2021-12-13 03:28:54,light rain
282,Tazovskiy,67.4667,78.7,-28.53,95,16,5.39,RU,2021-12-13 03:28:55,few clouds
283,Macau,22.2006,113.5461,67.71,68,20,19.57,MO,2021-12-13 03:28:55,few clouds
284,Mecca,21.4267,39.8261,70.23,40,69,4.63,SA,2021-12-13 03:28:56,broken clouds
285,Olafsvik,64.8945,-23.7142,41.09,92,100,18.48,IS,2021-12-13 03:28:56,light rain
286,Dvinskoy,62.1535,45.1175,16.74,95,100,5.46,RU,2021-12-13 03:28:56,light snow
287,Uvat,59.1433,68.8953,12.52,96,96,5.79,RU,2021-12-13 03:28:57,overcast clouds
288,Mirnyy,62.5353,113.9611,-20.72,96,100,6.26,RU,2021-12-13 03:28:57,overcast clouds
289,Tahta,26.7693,31.5021,65.57,39,100,6.71,EG,2021-12-13 03:28:57,overcast clouds
290,Davila,18.4726,120.5763,87.78,68,43,25.5,PH,2021-12-13 03:28:57,scattered clouds
291,Camacha,33.0833,-16.3333,59.76,94,40,4.61,PT,2021-12-13 03:28:58,scattered clouds
292,Charters Towers,-20.1,146.2667,93.36,30,5,7.94,AU,2021-12-13 03:28:58,clear sky
293,George Town,5.4112,100.3354,85.93,70,20,1.01,MY,2021-12-13 03:27:27,few clouds
294,Proletarsk,46.7031,41.7192,31.95,81,100,20.36,RU,2021-12-13 03:28:59,overcast clouds
295,Manitouwadge,49.1215,-85.8403,36.32,89,39,8.48,CA,2021-12-13 03:28:59,scattered clouds
296,Aykhal,66.0,111.5,-49.59,99,86,5.93,RU,2021-12-13 03:28:59,overcast clouds
297,Le Port,-20.9373,55.2919,80.6,75,10,2.98,RE,2021-12-13 03:29:00,clear sky
298,Tucupita,9.0622,-62.051,72.43,99,100,2.33,VE,2021-12-13 03:29:00,overcast clouds
299,Zhigansk,66.7697,123.3711,-34.26,99,91,11.21,RU,2021-12-13 03:29:00,overcast clouds
300,Rorvik,64.8621,11.2373,40.42,88,87,15.39,NO,2021-12-13 03:29:01,overcast clouds
301,Alice Springs,-23.7,133.8833,94.55,17,42,5.75,AU,2021-12-13 03:29:01,scattered clouds
302,Iqaluit,63.7506,-68.5145,4.73,65,40,5.01,CA,2021-12-13 03:29:02,scattered clouds
303,Dutse,11.7594,9.3392,66.56,20,100,6.82,NG,2021-12-13 03:29:02,overcast clouds
304,Goderich,43.7501,-81.7165,43.12,61,66,24.16,CA,2021-12-13 03:29:02,broken clouds
305,Inhambane,-23.865,35.3833,80.58,94,75,5.75,MZ,2021-12-13 03:29:03,broken clouds
306,Kandrian,-6.2167,149.55,83.98,76,92,3.2,PG,2021-12-13 03:29:03,light rain
307,Kristiinankaupunki,62.2743,21.376,33.8,86,100,9.86,FI,2021-12-13 03:29:03,light snow
308,Itarema,-2.9248,-39.9167,80.49,79,94,14.76,BR,2021-12-13 03:29:04,overcast clouds
309,Ponta Delgada,37.7333,-25.6667,56.5,62,20,8.05,PT,2021-12-13 03:29:04,few clouds
310,Chernyshevskiy,63.0128,112.4714,-23.28,96,100,5.82,RU,2021-12-13 03:24:37,overcast clouds
311,Cumberland,35.0502,-78.8664,39.47,76,1,4.61,US,2021-12-13 03:29:04,clear sky
312,Gat,31.61,34.7642,67.91,39,100,3.89,IL,2021-12-13 03:29:05,overcast clouds
313,Moses Lake,47.1301,-119.2781,37.18,75,20,11.5,US,2021-12-13 03:28:27,few clouds
314,Aasiaat,68.7098,-52.8699,5.92,99,100,6.82,GL,2021-12-13 03:29:05,overcast clouds
315,Talara,-4.5772,-81.2719,67.32,85,49,8.72,PE,2021-12-13 03:29:06,scattered clouds
316,Pamplonita,7.437,-72.638,61.65,94,87,0.94,CO,2021-12-13 03:29:06,overcast clouds
317,Dickinson,29.4608,-95.0513,55.98,81,1,0.0,US,2021-12-13 03:29:06,clear sky
318,Praia Da Vitoria,38.7333,-27.0667,55.65,76,20,17.36,PT,2021-12-13 03:29:07,few clouds
319,Egvekinot,66.3167,-179.1667,-20.81,75,6,8.14,RU,2021-12-13 03:29:07,clear sky
320,Prince Rupert,54.3161,-130.3201,37.09,73,1,9.22,CA,2021-12-13 03:24:39,light snow
321,Hofn,64.2539,-15.2082,36.84,89,94,5.75,IS,2021-12-13 03:29:07,overcast clouds
322,Adrar,20.5022,-10.0711,63.77,17,26,9.69,MR,2021-12-13 03:29:08,scattered clouds
323,Katherine,-14.4667,132.2667,98.92,36,4,12.66,AU,2021-12-13 03:29:08,clear sky
324,Dudinka,69.4058,86.1778,-27.38,95,27,5.14,RU,2021-12-13 03:30:09,scattered clouds
325,Niono,14.2526,-5.993,72.88,14,34,9.33,ML,2021-12-13 03:30:09,scattered clouds
326,Rumonge,-3.9736,29.4386,72.16,79,100,1.83,BI,2021-12-13 03:30:10,light rain
327,Salvador,13.8333,-88.9167,70.2,91,38,3.96,SV,2021-12-13 03:30:10,scattered clouds
328,Sarahan,31.5167,77.8,42.91,29,22,7.11,IN,2021-12-13 03:30:10,few clouds
329,Upernavik,72.7868,-56.1549,6.94,93,100,11.45,GL,2021-12-13 03:30:11,overcast clouds
330,Nemuro,43.3236,145.575,36.03,57,37,31.94,JP,2021-12-13 03:30:11,scattered clouds
331,Kununurra,-15.7667,128.7333,102.18,30,94,5.75,AU,2021-12-13 03:30:12,overcast clouds
332,Hay River,60.8156,-115.7999,-4.02,84,20,8.05,CA,2021-12-13 03:28:12,few clouds
333,Sheboygan,43.7333,-87.9334,42.49,61,1,10.0,US,2021-12-13 03:30:12,clear sky
334,Otjimbingwe,-22.35,16.1333,70.66,23,3,0.96,NA,2021-12-13 03:30:12,clear sky
335,Labuhan,-6.8844,112.2051,87.69,62,23,6.2,ID,2021-12-13 03:30:13,few clouds
336,Krasnomayskiy,57.6194,34.4099,31.96,97,100,7.16,RU,2021-12-13 03:30:13,light snow
