City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
464,Kikwit,CD,69.26,-5.041,18.8162,overcast clouds,HOTEL PLACE YALABA
465,Necochea,AR,58.19,-38.5473,-58.7368,scattered clouds,dyd -mar Hotel
466,Tocopilla,CL,66.42,-22.092,-70.1979,clear sky,Hotel Galvarino
468,Cabedelo,BR,77.67,-6.9811,-34.8339,broken clouds,Hotel Pigalle
469,Saint-Leu,RE,79.68,-21.15,55.2833,clear sky,La Caz Oceane
471,Rawson,AR,57.18,-43.3002,-65.1023,overcast clouds,Hosteria Sampedro
473,Concordia,AR,73.78,-31.393,-58.0209,broken clouds,Palmar Hotel Casino
474,Dehloran,IR,58.96,32.6941,47.2679,overcast clouds,کافه گیم استورم
477,Khorixas,,74.75,-20.3667,14.9667,broken clouds,Khorixas Lodge
479,Houma,US,55.98,29.5958,-90.7195,clear sky,Courtyard by Marriott Houma
482,Juchipila,MX,66.74,21.4167,-103.1167,clear sky,HOTEL JARDIN
484,Robertsport,LR,79.9,6.7533,-11.3686,light rain,Kwepunha Retreat
486,Caravelas,BR,75.13,-17.7125,-39.2481,overcast clouds,Pousada dos Navegantes
490,Esperanza,DO,73.0,19.5847,-70.9849,clear sky,Cabañas Bernard - Alojamientos Turísticos
492,Togitsu,JP,53.56,32.8333,129.85,few clouds,Hotel AZ Nagasaki Togitsu
494,Zastron,ZA,59.9,-30.3023,27.084,overcast clouds,Highlands Guest House
495,Forecariah,GN,76.53,9.4306,-13.0881,light rain,"Motel "" La Maison Blanche"""
497,Frederico Westphalen,BR,66.96,-27.3592,-53.3944,light rain,Hotel Palace Frederico
500,Ikirun,NG,69.87,7.9167,4.6667,few clouds,Turode Hotel
504,Rajmahal,IN,69.94,25.05,87.8333,clear sky,palace of Nirmal Ghosh
505,Tukrah,LY,58.3,32.5341,20.5791,clear sky,Lagrota restaurant
506,Makakilo City,US,77.32,21.3469,-158.0858,overcast clouds,Marriott's Ko Olina Beach Club
507,Vilhena,BR,69.58,-12.7406,-60.1458,overcast clouds,Hotel Mirage
513,Dakoro,NE,64.35,14.5106,6.765,broken clouds,Shagon mai liverpool
514,Qui Nhon,VN,75.02,13.7667,109.2333,overcast clouds,Hoang Yen Canary Hotel
515,Tomatlan,MX,71.58,19.9333,-105.25,few clouds,El Salvial
518,Concepcion,CL,55.2,-36.827,-73.0498,clear sky,Hotel El Araucano
520,Coquimbo,CL,58.73,-29.9533,-71.3436,clear sky,Punto de encuentro
521,Horta,PT,57.47,38.5333,-28.6333,overcast clouds,Hotel do Canal | Horta - Faial
528,Sutton,GB,51.6,51.35,-0.2,overcast clouds,"Holiday Inn London - Sutton, an IHG Hotel"
531,Calbuco,CL,51.01,-41.768,-73.1273,broken clouds,Hotel Colonial
532,Bani Walid,LY,50.11,31.7566,13.9942,broken clouds,منزل الصابر أبوفانة
533,Jangaon,IN,73.96,17.7167,79.1833,overcast clouds,Sri Lakshmi Narasimha Fuction Hall
535,Launceston,AU,72.61,-41.45,147.1667,clear sky,Hotel Grand Chancellor Launceston
536,Kesinga,IN,71.87,20.2,83.2333,scattered clouds,Hotel Jayashree
538,Peniche,PT,57.76,39.3558,-9.3811,clear sky,Hotel Star inn Peniche
539,Knysna,ZA,62.98,-34.0363,23.0471,light rain,Protea Hotel by Marriott Knysna Quays
541,Puyang,CN,50.97,29.4603,119.8861,scattered clouds,Xianhua Sandalwood Celebrity Hotel
545,Kaeo,NZ,72.32,-35.1,173.7833,light rain,Bushido Lodge
547,Marti,CU,75.85,22.9475,-80.9203,light rain,Hotel Bibanasí
551,Mweka,CD,68.76,-4.85,21.5667,overcast clouds,Guest House Boshab
552,Liuzhou,CN,62.15,24.3126,109.3892,scattered clouds,Linjiang Inn
553,Esperance,AU,69.64,-33.8667,121.9,broken clouds,Hospitality Esperance
555,Nan,TH,69.82,18.8333,100.6667,clear sky,สะเนียน2
556,Saint-Joseph,RE,79.21,-21.3667,55.6167,few clouds,"""Plantation Bed and Breakfast"
558,Sinnamary,GF,77.27,5.3833,-52.95,light rain,ALETHEIA Appartement Sinnamary
559,Puerto Colombia,CO,78.89,10.9878,-74.9547,broken clouds,Hotel El Emigrante
567,Prado,BR,74.79,-17.3411,-39.2208,overcast clouds,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
569,Barra Do Garcas,BR,73.83,-15.89,-52.2567,overcast clouds,Hotel Pousada Tropical
570,Calvinia,ZA,59.22,-31.4707,19.776,broken clouds,Die Lemoenhuis
572,Yumbe,UG,66.47,3.4651,31.2469,broken clouds,Terrain Hotel
573,Quelimane,MZ,78.75,-17.8786,36.8883,clear sky,Hotel Flamingo
575,Seminole,US,70.63,28.7086,-81.2081,overcast clouds,Ono Hot Dog Cart and Catering
576,Sao Pedro Do Sul,BR,70.45,-29.6206,-54.1789,broken clouds,Sítio Hotel e Eventos
577,Butajira,ET,52.92,8.1167,38.3667,overcast clouds,እናት መናፈሻ ( Enat Menafesha)
579,Santa Helena,BR,74.59,-2.2311,-45.3,scattered clouds,Turi Plaza Hotel
583,Otukpo,NG,70.34,7.1913,8.1329,scattered clouds,Queen s Hotel
585,Bhinmal,IN,69.73,25.0,72.25,clear sky,Jambheswar Bhavan(Gopi Khilery)
587,Mwingi,KE,64.44,-0.9344,38.0601,broken clouds,Thorn Tree by The Address
588,Ambanja,MG,73.33,-13.6833,48.45,clear sky,Hotel Salama and Fast Food
593,Rosario,AR,71.94,-32.9468,-60.6393,clear sky,"Holiday Inn Rosario, an IHG Hotel"
598,Barra Do Corda,BR,74.98,-5.5,-45.25,overcast clouds,Belchior Palace Hotel
600,Lake Havasu City,US,54.07,34.4839,-114.3224,clear sky,Heat Hotel
604,Netrakona,BD,70.54,24.8833,90.7167,clear sky,kurpar gas office
605,South Yuba City,US,50.58,39.1166,-121.6391,overcast clouds,Bonanza Inn & Suites Yuba City
606,Lundazi,ZM,70.23,-12.2929,33.1782,clear sky,Knox Lodge
610,Aswan,EG,67.3,24.0934,32.907,clear sky,Nuba Nile
614,Zomba,MW,72.32,-15.386,35.3188,clear sky,Trout Farm Campsite
617,Belmonte,BR,77.5,-15.8631,-38.8828,overcast clouds,Pousada Monte Carmelo O Pão
621,Bambanglipuro,ID,76.6,-7.95,110.2833,broken clouds,Puri Brata
622,Lucapa,AO,66.85,-8.4192,20.7447,overcast clouds,Residência Ulisses Dos Santos
623,Petauke,ZM,69.89,-14.2426,31.3253,clear sky,Newline Lodge
626,Kintampo,GH,76.17,8.0563,-1.7306,overcast clouds,Adomaa Memorial Hotel
627,Hobyo,SO,79.16,5.3505,48.5268,few clouds,Halane Hotel and Restaurent
629,Iguape,BR,72.09,-24.7081,-47.5553,overcast clouds,Hotel Pousada Nossa Senhora do Carmo
630,Palma,ES,52.56,39.5694,2.6502,fog,Hotel Saratoga
631,Farafangana,MG,76.98,-22.8167,47.8333,broken clouds,Miarina
637,Bonthe,SL,77.77,7.5264,-12.505,light rain,Bonthe Holiday Village
641,Lekoni,GA,71.96,-1.5843,14.2591,overcast clouds,Rendez-vous Des ChasseursD
643,Bathsheba,BB,79.41,13.2167,-59.5167,scattered clouds,Atlantis Hotel
644,Luanda,AO,78.8,-8.8368,13.2343,moderate rain,Hotel Fórum
645,Esna,EG,60.82,25.2934,32.554,scattered clouds,Orient Star Dahabyia Isna 05 Nights Each Sunday
647,Zhicheng,CN,54.18,30.2956,111.5047,clear sky,Wangjiang Building
648,San Quintin,MX,50.43,30.4833,-115.95,clear sky,Don Eddie's Landing
649,Rosarito,MX,56.35,32.3333,-117.0333,clear sky,Hotel Festival Plaza Rosarito
655,Benjamin Constant,BR,77.13,-4.3831,-70.0311,broken clouds,CASA AVALIADA
659,Maymyo,MM,69.01,22.0333,96.4667,clear sky,Tiger Hotel
661,Marsa Matruh,EG,52.0,31.3525,27.2453,clear sky,Beau Site
663,Taltal,CL,61.47,-25.4,-70.4833,few clouds,Residencial Karime
668,Isiro,CD,61.57,2.7739,27.616,overcast clouds,Guest House Hewa Bora
