City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,Karratha,-20.7377,116.8463,100.26,30,10,16.71,AU,2021-12-11 06:01:38
179,Soweto,-26.2678,27.8585,73.31,71,81,6.06,ZA,2021-12-11 06:01:38
180,Galveston,29.3669,-94.9669,78.22,93,90,1.99,US,2021-12-11 06:01:39
181,Carnarvon,-24.8667,113.6333,77.85,56,0,21.32,AU,2021-12-11 06:02:39
182,Hofn,64.2539,-15.2082,40.57,93,100,16.35,IS,2021-12-11 06:02:39
183,Soyo,-6.1349,12.3689,78.84,89,41,6.69,AO,2021-12-11 06:02:39
184,Ocampo,21.65,-101.5,48.97,27,77,4.7,MX,2021-12-11 06:02:40
185,Asfi,32.2994,-9.2372,55.53,86,62,16.26,MA,2021-12-11 06:02:40
186,Zelenoborsk,61.4669,64.0333,15.22,82,13,11.01,RU,2021-12-11 06:02:40
187,Tuatapere,-46.1333,167.6833,56.82,58,85,8.93,NZ,2021-12-11 06:02:41
188,Tiksi,71.6872,128.8694,-5.94,90,100,7.94,RU,2021-12-11 06:02:41
189,Zhuhai,22.2769,113.5678,77.86,60,0,4.61,CN,2021-12-11 06:02:42
190,Trairi,-3.2778,-39.2689,80.02,77,15,10.74,BR,2021-12-11 05:59:10
191,Sindor,62.8629,51.8905,7.68,93,31,7.34,RU,2021-12-11 06:02:42
192,Sobolevo,54.4299,31.8996,32.63,92,100,16.69,RU,2021-12-11 06:02:43
193,Hobyo,5.3505,48.5268,80.31,64,48,19.98,SO,2021-12-11 06:02:43
194,Provideniya,64.3833,-173.3,-9.35,83,69,8.95,RU,2021-12-11 06:02:44
195,Bathsheba,13.2167,-59.5167,78.31,75,73,16.44,BB,2021-12-11 06:02:44
196,Lahad Datu,5.0268,118.327,84.56,72,100,6.91,MY,2021-12-11 06:02:44
197,Olinda,-8.0089,-34.8553,79.48,75,32,12.57,BR,2021-12-11 06:02:45
